change_type,para_prev_idx,para_curr_idx,text_prev,text_curr,semantic_sim,token_diff
modified/added,15,12.0,V.,Home,0.26,- V. + Home
modified/added,17,37.0,VI. Content-Related Requests and Decisions,CONTENT-RELATED REQUESTS AND DECISIONS,0.712,+ CONTENT-RELATED + REQUESTS + AND + DECISIONS - VI. - Content-Related - Requests - and - Decisions
modified/added,18,42.0,Additional Information Facebook © 2020,Facebook Community Standards Other policies How Facebook improves,0.652,- Additional - Information   Facebook - © - 2020 + Community + Standards + Other + policies + How + Facebook + improves
modified/added,19,22.0,Report Abuse,"SAFETY Suicide and Self-Injury Child Sexual Exploitation, Abuse and Nudity Sexual Exploitation of Adults Bullying and Harassment",0.414,"- Report + SAFETY + Suicide + and + Self-Injury + Child + Sexual + Exploitation,   Abuse + and + Nudity + Sexual + Exploitation + of + Adults + Bullying + and + Harassment"
deleted,0,,Community Standards,,0.863,
deleted,1,,Facebook,,0.568,
deleted,2,,Community Standards,,0.863,
deleted,4,,"REITERATING OUR COMMITMENT TO VOICE The goal of our Community Standards has always been to create a place for expression and give people a voice. This has not and will not change. Building community and bringing the world closer together depends on people’s ability to share diverse views, experiences, ideas and information. We want people to be able to talk openly about the issues that matter to them, even if some may disagree or find them objectionable. In some cases, we allow content for public awareness which would otherwise go against our Community Standards – if it is newsworthy and in the public interest. We do this only after weighing the public interest value against the risk of harm and we look to international human rights standards to make these judgments. As such, we consider the newsworthiness of content posted by anyone, including news organizations and individuals users. For example, we have allowed content that graphically depicts war or the consequences of war where it is important to public discourse. Our commitment to expression is paramount, but we recognize the internet creates new and increased opportunities for abuse. For these reasons, when we limit expression, we do it in service of one or more of the following values:",,0.734,
deleted,8,,"Dignity: We believe that all people are equal in dignity and rights. We expect that people will respect the dignity of others and not harass or degrade others. Our Community Standards apply to everyone, all around the world, and to all types of content. They’re designed to be comprehensive – for example, content that might not be considered hateful may still be removed for violating a different policy. We recognize that words mean different things or affect people differently depending on their local community, language, or background. We work hard to account for these nuances while also applying our policies consistently and fairly to people and their expression. Our enforcement of these standards relies on information available to us. In some cases, this means that we may not detect content and behavior that violates these standards, and in others, enforcement may be limited to circumstances where we have been provided with additional information and context. People can report potentially violating content, including Pages, Groups, Profiles, individual content, and comments. We also give people control over their own experience by allowing them to block, unfollow or hide people and posts. The consequences for violating our Community Standards vary depending on the severity of the violation and the person's history on the platform. For instance, we may warn someone for a first violation, but if they continue to violate our policies, we may restrict their ability to post on Facebook or disable their profile. We also may notify law enforcement when we believe there is a genuine risk of physical harm or a direct threat to public safety. Our Community Standards are a guide for what is and isn’t allowed on Facebook. It is in this spirit that we ask members of the Facebook community to follow these guidelines. Please note that the US English version of the Community Standards reflects the most up-to-date set of the policies and should be used as the master document.",,0.67,
deleted,9,,I. Violence and Criminal Behavior,,0.694,
deleted,10,,II.,,0.267,
deleted,11,,Safety,,0.457,
deleted,12,,III.,,0.34,
deleted,14,,IV. Integrity and Authenticity,,0.732,
deleted,15,,V.,,0.26,
deleted,17,,VI. Content-Related Requests and Decisions,,0.712,
deleted,18,,Additional Information Facebook © 2020,,0.652,
deleted,19,,Report Abuse,,0.414,
